ruta,bytes_antes,bytes_despues,medidas_antes,medidas_despues
recorrido/cultura/historiageneral/carrera-espacial.webp,315782,169786,1000x1000,900x900
recorrido/cultura/historiageneral/cisma-oriente.webp,302972,165928,1000x1000,900x900
recorrido/cultura/historiageneral/ciudades-estado.webp,233958,120344,1000x1000,900x900
recorrido/cultura/historiageneral/colonizacion-europea.webp,244508,129866,1000x1000,900x900
recorrido/cultura/historiageneral/comercio-atlantico.webp,315164,179142,1000x1000,900x900
recorrido/cultura/historiageneral/contrarreforma.webp,237302,124282,1000x1000,900x900
recorrido/cultura/historiageneral/crisis-2008.webp,253674,127018,1000x1000,900x900
recorrido/cultura/historiageneral/cruzadas.webp,236388,121664,1000x1000,900x900
recorrido/cultura/historiageneral/descolonizacion.webp,244928,134254,1000x1000,900x900
recorrido/cultura/historiageneral/descubrimiento-america.webp,271200,157528,1000x1000,900x900
recorrido/cultura/historiageneral/dinastia-han.webp,259332,146936,1000x1000,900x900
recorrido/cultura/historiageneral/dinastia-tang.webp,267316,153014,1000x1000,900x900
recorrido/cultura/historiageneral/disolucion-urss.webp,217236,112036,1000x1000,900x900
recorrido/cultura/historiageneral/electricidad.webp,206054,106782,1000x1000,900x900
recorrido/cultura/historiageneral/era-vikinga.webp,245694,135190,1000x1000,900x900
recorrido/cultura/historiageneral/expansion-cristianismo.webp,257346,134988,1000x1000,900x900
recorrido/cultura/historiageneral/expansion-islamica.webp,307806,170768,1000x1000,900x900
recorrido/cultura/historiageneral/ferrocarril.webp,301950,175896,1000x1000,900x900
recorrido/cultura/historiageneral/feudalismo.webp,322758,177842,1000x1000,900x900
recorrido/cultura/historiageneral/fundacion-onu.webp,299754,168132,1000x1000,900x900
recorrido/cultura/historiageneral/fundacion-roma.webp,279902,161566,1000x1000,900x900
recorrido/cultura/historiageneral/fundacion-universidades.webp,209128,103842,1000x1000,900x900
recorrido/cultura/historiageneral/genoma-humano.webp,260510,135024,1000x1000,900x900
recorrido/cultura/historiageneral/globalizacion.webp,290924,152278,1000x1000,900x900
recorrido/cultura/historiageneral/gran-depresion.webp,204880,104508,1000x1000,900x900
recorrido/cultura/historiageneral/guerra-cien-anos.webp,365452,210270,1000x1000,900x900
recorrido/cultura/historiageneral/guerra-fria.webp,248494,134192,1000x1000,900x900
recorrido/cultura/historiageneral/guerra-secesion.webp,264686,140830,1000x1000,900x900
recorrido/cultura/historiageneral/guerras-napoleonicas.webp,215566,118152,1000x1000,900x900
recorrido/cultura/historiageneral/holocausto.webp,251648,139288,1000x1000,900x900
recorrido/cultura/historiageneral/homo-sapiens.webp,251956,132616,1000x1000,900x900
recorrido/cultura/historiageneral/ia-generativa.webp,240420,121756,1000x1000,900x900
recorrido/cultura/historiageneral/imperio-bizantino.webp,338072,189392,1000x1000,900x900
recorrido/cultura/historiageneral/imperio-maurya.webp,260442,139364,1000x1000,900x900
recorrido/cultura/historiageneral/imperio-mongol.webp,255202,129546,1000x1000,900x900
recorrido/cultura/historiageneral/imperio-romano.webp,244798,130576,1000x1000,900x900
recorrido/cultura/historiageneral/imprenta-gutenberg.webp,214094,113290,1000x1000,900x900
recorrido/cultura/historiageneral/independencia-eeuu.webp,208970,109172,1000x1000,900x900
recorrido/cultura/historiageneral/independencias-hispanoamerica.webp,262012,139710,1000x1000,900x900
recorrido/cultura/historiageneral/invencion-escritura.webp,248138,140702,1000x1000,900x900
recorrido/cultura/historiageneral/invencion-papel.webp,231922,121634,1000x1000,900x900
recorrido/cultura/historiageneral/julio-cesar.webp,275894,147066,1000x1000,900x900
recorrido/cultura/historiageneral/llegada-luna.webp,241588,127258,1000x1000,900x900
recorrido/cultura/historiageneral/motor-combustion.webp,211892,110820,1000x1000,900x900
recorrido/cultura/historiageneral/nacimiento-hinduismo.webp,213870,112844,1000x1000,900x900
recorrido/cultura/historiageneral/nacimiento-islam.webp,212576,107624,1000x1000,900x900
recorrido/cultura/historiageneral/nazismo-fascismo.webp,209066,109142,1000x1000,900x900
recorrido/cultura/historiageneral/neandertales.webp,249310,131720,1000x1000,900x900
recorrido/cultura/historiageneral/penicilina.webp,210406,115442,1000x1000,900x900
recorrido/cultura/historiageneral/peste-negra.webp,208114,103556,1000x1000,900x900
recorrido/cultura/historiageneral/piramides-guiza.webp,223206,112618,1000x1000,900x900
recorrido/cultura/historiageneral/primera-guerra-mundial.webp,241150,127278,1000x1000,900x900
recorrido/cultura/historiageneral/primera-vuelta-mundo.webp,234772,122968,1000x1000,900x900
recorrido/cultura/historiageneral/primeros-hominidos.webp,208282,108744,1000x1000,900x900
recorrido/cultura/historiageneral/radio.webp,220478,113834,1000x1000,900x900
recorrido/cultura/historiageneral/redes-sociales.webp,271240,137556,1000x1000,900x900
recorrido/cultura/historiageneral/renacimiento.webp,221006,114378,1000x1000,900x900
recorrido/cultura/historiageneral/republica-romana.webp,233462,128372,1000x1000,900x900
recorrido/cultura/historiageneral/revolucion-francesa.webp,245962,129056,1000x1000,900x900
recorrido/cultura/historiageneral/revolucion-industrial.webp,286844,158008,1000x1000,900x900
recorrido/cultura/historiageneral/revolucion-neolitica.webp,324496,178336,1000x1000,900x900
recorrido/cultura/historiageneral/revolucion-rusa.webp,237912,123824,1000x1000,900x900
recorrido/cultura/historiageneral/ruta-seda.webp,259808,138710,1000x1000,900x900
recorrido/cultura/historiageneral/segunda-guerra-mundial.webp,246832,131572,1000x1000,900x900
recorrido/cultura/historiageneral/segunda-revolucion-industrial.webp,277950,149826,1000x1000,900x900
recorrido/cultura/historiageneral/smartphones.webp,249602,125174,1000x1000,900x900
recorrido/cultura/historiageneral/telefono.webp,224502,120506,1000x1000,900x900
recorrido/cultura/historiageneral/telegrafo.webp,219886,117004,1000x1000,900x900
recorrido/cultura/historiageneral/teoria-evolucion.webp,206742,103560,1000x1000,900x900
recorrido/cultura/historiageneral/unificacion-egipto.webp,207340,106480,1000x1000,900x900
recorrido/cultura/historiageneral/vacunas-modernas.webp,232574,123600,1000x1000,900x900
recorrido/cultura/historiareligion/africa.webp,348266,198208,1000x1000,900x900
recorrido/cultura/historiareligion/america.webp,305534,164562,1000x1000,900x900
recorrido/cultura/historiareligion/animismo.webp,276146,161164,1000x1000,900x900
recorrido/cultura/historiareligion/buda.webp,235124,130210,1000x1000,900x900
recorrido/cultura/historiareligion/budismo.webp,215240,117338,1000x1000,900x900
recorrido/cultura/historiareligion/chamanes.webp,236506,133894,1000x1000,900x900
recorrido/cultura/historiareligion/china.webp,311838,171230,1000x1000,900x900
recorrido/cultura/historiareligion/cisma.webp,233990,126066,1000x1000,900x900
recorrido/cultura/historiareligion/conectado.webp,293186,152344,1000x1000,900x900
recorrido/cultura/historiareligion/confucianismo.webp,261196,147058,1000x1000,900x900
recorrido/cultura/historiareligion/confucio.webp,241778,135296,1000x1000,900x900
recorrido/cultura/historiareligion/conquista.webp,210046,117166,1000x1000,900x900
recorrido/cultura/historiareligion/cristianismo.webp,205186,108830,1000x1000,900x900
recorrido/cultura/historiareligion/egipto.webp,219012,122638,1000x1000,900x900
recorrido/cultura/historiareligion/eras/busqueda-sabiduria.webp,252408,136464,1000x1000,900x900
recorrido/cultura/historiareligion/eras/civilizaciones-dioses.webp,294886,163198,1000x1000,900x900
recorrido/cultura/historiareligion/eras/dioses-historias.webp,291350,160416,1000x1000,900x900
recorrido/cultura/historiareligion/eras/mundo-muchas-creencias.webp,301736,168772,1000x1000,900x900
recorrido/cultura/historiareligion/eras/naturaleza-sagrada.webp,285818,153832,1000x1000,900x900
recorrido/cultura/historiareligion/eras/revolucion-espiritual.webp,260046,137896,1000x1000,900x900
recorrido/cultura/historiareligion/expansion.webp,247382,131264,1000x1000,900x900
recorrido/cultura/historiareligion/gea.webp,246756,139054,1000x1000,900x900
recorrido/cultura/historiareligion/griega.webp,218008,117682,1000x1000,900x900
recorrido/cultura/historiareligion/hindu.webp,289112,166994,1000x1000,900x900
recorrido/cultura/historiareligion/hinduismo.webp,248136,139170,1000x1000,900x900
recorrido/cultura/historiareligion/jesus.webp,207940,107392,1000x1000,900x900
recorrido/cultura/historiareligion/judaismo.webp,238682,128958,1000x1000,900x900
recorrido/cultura/historiareligion/krishna.webp,257792,142582,1000x1000,900x900
